"ercc"	"fpkm"
"ERCC-00002"	136318.433446595
"ERCC-00003"	8835.76187522748
"ERCC-00004"	138006.185479743
"ERCC-00009"	9185.24941390282
"ERCC-00012"	1.10998879341312
"ERCC-00013"	10.9190006329718
"ERCC-00014"	18.0589904257463
"ERCC-00016"	2.61359063413587
"ERCC-00017"	0.971484040632222
"ERCC-00019"	438.112225334179
"ERCC-00022"	3006.85787586592
"ERCC-00024"	4.10984698230287
"ERCC-00025"	283.587672911704
"ERCC-00028"	31.2522634664638
"ERCC-00031"	15.5164746684373
"ERCC-00033"	8.73951636463366
"ERCC-00034"	69.2998280033984
"ERCC-00035"	1000.07242956141
"ERCC-00039"	47.678655315414
"ERCC-00040"	11.8557513575163
"ERCC-00041"	1.96716875131579
"ERCC-00042"	4417.88093761373
"ERCC-00043"	4417.88093761373
"ERCC-00044"	977.618299018581
"ERCC-00046"	69134.7780313597
"ERCC-00048"	0.139027820002112
"ERCC-00051"	2050.87317076724
"ERCC-00053"	276.117558600858
"ERCC-00054"	512.718292691809
"ERCC-00057"	0.1350866599043
"ERCC-00058"	15.5437443954469
"ERCC-00059"	268.520396172561
"ERCC-00060"	4312.69329624198
"ERCC-00061"	0.485742020316112
"ERCC-00062"	552.235117201717
"ERCC-00067"	54.7640282415436
"ERCC-00069"	15.5300975610347
"ERCC-00071"	878.945644614535
"ERCC-00073"	14.6188272937308
"ERCC-00074"	276539.11212544
"ERCC-00075"	0.134823076177657
"ERCC-00076"	3515.78257845813
"ERCC-00077"	128.645680887408
"ERCC-00078"	284.442711121487
"ERCC-00079"	876.22445066836
"ERCC-00081"	4.12518223223683
"ERCC-00083"	0.269909384335808
"ERCC-00084"	284.15712607016
"ERCC-00085"	83.6348988078842
"ERCC-00086"	1.08175033095838
"ERCC-00092"	2010.80282462436
"ERCC-00095"	2164.59271560902
"ERCC-00096"	130664.107081813
"ERCC-00097"	8.42322905972108
"ERCC-00098"	0.482772418445184
"ERCC-00099"	104.667343774363
"ERCC-00104"	1.09243956347774
"ERCC-00108"	8844.39054893374
"ERCC-00109"	16.4393875700876
"ERCC-00111"	4546.51401712256
"ERCC-00112"	994.799639950367
"ERCC-00113"	43024.4936917251
"ERCC-00116"	2272.11638788463
"ERCC-00117"	0.485742020316112
"ERCC-00120"	16.4393875700876
"ERCC-00123"	2.15927507468647
"ERCC-00126"	126.348436413339
"ERCC-00130"	273150.791241718
"ERCC-00131"	1464.53038843922
"ERCC-00134"	64.0897866739803
"ERCC-00136"	17500.7843905471
"ERCC-00137"	16.4088877786773
"ERCC-00138"	1.07753298074022
"ERCC-00142"	4.46686399288676
"ERCC-00143"	45.0096211756197
"ERCC-00144"	524.112032529407
"ERCC-00145"	8674.95777979709
"ERCC-00147"	8.62867367093377
"ERCC-00148"	285.302920933346
"ERCC-00150"	47.4866607302511
"ERCC-00154"	131.271102767105
"ERCC-00156"	8.91571624264831
"ERCC-00157"	69.2998280033984
"ERCC-00158"	4.29756584679646
"ERCC-00160"	94.9733213308318
"ERCC-00162"	1078.1733240605
"ERCC-00163"	259.651832629247
"ERCC-00164"	4.31855005503277
"ERCC-00165"	647.644159189657
"ERCC-00168"	4.31013182880464
"ERCC-00170"	138.058779300429
"ERCC-00171"	71452.9066832989
